id,winner,loser,player,score,player_score,venue,date,sport,gender,toss,league
33,Kolkata Knight Riders,Mumbai Indians,PJ Cummins,162,50,"Maharashtra Cricket Association Stadium, Pune",2022-04-06,Cricket,Men,field,Indian Premier League
34,Lucknow Super Giants,Delhi Capitals,Q de Kock,150,42,"Dr DY Patil Sports Academy, Mumbai",2022-04-07,Cricket,Men,field,Indian Premier League
35,Gujarat Titans,Punjab Kings,Shubman Gill,190,66,"Brabourne Stadium, Mumbai",2022-04-08,Cricket,Men,field,Indian Premier League
36,Sunrisers Hyderabad,Chennai Super Kings,Abhishek Sharma,155,48,"Dr DY Patil Sports Academy, Mumbai",2022-04-09,Cricket,Men,field,Indian Premier League
37,Royal Challengers Bangalore,Mumbai Indians,Anuj Rawat,152,43,"Maharashtra Cricket Association Stadium, Pune",2022-04-09,Cricket,Men,field,Indian Premier League
38,Delhi Capitals,Kolkata Knight Riders,Kuldeep Yadav,216,68,"Brabourne Stadium, Mumbai",2022-04-10,Cricket,Men,field,Indian Premier League
39,Rajasthan Royals,Lucknow Super Giants,YS Chahal,166,63,"Wankhede Stadium, Mumbai",2022-04-10,Cricket,Men,field,Indian Premier League
40,Sunrisers Hyderabad,Gujarat Titans,KS Williamson,163,51,"Dr DY Patil Sports Academy, Mumbai",2022-04-11,Cricket,Men,field,Indian Premier League
41,Chennai Super Kings,Royal Challengers Bangalore,S Dube,217,108,"Dr DY Patil Sports Academy, Mumbai",2022-04-12,Cricket,Men,field,Indian Premier League
42,Punjab Kings,Mumbai Indians,MA Agarwal,199,91,"Maharashtra Cricket Association Stadium, Pune",2022-04-13,Cricket,Men,field,Indian Premier League
43,Gujarat Titans,Rajasthan Royals,HH Pandya,193,79,"Dr DY Patil Sports Academy, Mumbai",2022-04-14,Cricket,Men,field,Indian Premier League
44,Sunrisers Hyderabad,Kolkata Knight Riders,RA Tripathi,176,91,"Brabourne Stadium, Mumbai",2022-04-15,Cricket,Men,field,Indian Premier League
45,Lucknow Super Giants,Mumbai Indians,KL Rahul,200,74,"Brabourne Stadium, Mumbai",2022-04-16,Cricket,Men,field,Indian Premier League
46,Royal Challengers Bangalore,Delhi Capitals,KD Karthik,190,53,"Wankhede Stadium, Mumbai",2022-04-16,Cricket,Men,field,Indian Premier League
47,Sunrisers Hyderabad,Punjab Kings,Umran Malik,152,62,"Dr DY Patil Sports Academy, Mumbai",2022-04-17,Cricket,Men,field,Indian Premier League
48,Gujarat Titans,Chennai Super Kings,DA Miller,170,78,"Maharashtra Cricket Association Stadium, Pune",2022-04-17,Cricket,Men,field,Indian Premier League
49,Rajasthan Royals,Kolkata Knight Riders,YS Chahal,218,74,"Brabourne Stadium, Mumbai",2022-04-18,Cricket,Men,field,Indian Premier League
50,Royal Challengers Bangalore,Lucknow Super Giants,F du Plessis,182,90,"Dr DY Patil Sports Academy, Mumbai",2022-04-19,Cricket,Men,field,Indian Premier League
51,Delhi Capitals,Punjab Kings,Kuldeep Yadav,116,33,"Brabourne Stadium, Mumbai",2022-04-20,Cricket,Men,field,Indian Premier League
52,Chennai Super Kings,Mumbai Indians,Mukesh Choudhary,156,73,"Dr DY Patil Sports Academy, Mumbai",2022-04-21,Cricket,Men,field,Indian Premier League
53,Rajasthan Royals,Delhi Capitals,JC Buttler,223,127,"Wankhede Stadium, Mumbai",2022-04-22,Cricket,Men,field,Indian Premier League
54,Gujarat Titans,Kolkata Knight Riders,Rashid Khan,157,63,"Dr DY Patil Sports Academy, Mumbai",2022-04-23,Cricket,Men,bat,Indian Premier League
55,Sunrisers Hyderabad,Royal Challengers Bangalore,M Jansen,69,22,"Brabourne Stadium, Mumbai",2022-04-23,Cricket,Men,field,Indian Premier League
56,Lucknow Super Giants,Mumbai Indians,KL Rahul,169,72,"Wankhede Stadium, Mumbai",2022-04-24,Cricket,Men,field,Indian Premier League
57,Punjab Kings,Chennai Super Kings,S Dhawan,188,99,"Wankhede Stadium, Mumbai",2022-04-25,Cricket,Men,field,Indian Premier League
58,Rajasthan Royals,Royal Challengers Bangalore,R Parag,145,49,"Maharashtra Cricket Association Stadium, Pune",2022-04-26,Cricket,Men,field,Indian Premier League
59,Gujarat Titans,Sunrisers Hyderabad,Umran Malik,196,62,"Wankhede Stadium, Mumbai",2022-04-27,Cricket,Men,field,Indian Premier League
60,Delhi Capitals,Kolkata Knight Riders,Kuldeep Yadav,147,83,"Wankhede Stadium, Mumbai",2022-04-28,Cricket,Men,field,Indian Premier League
61,Lucknow Super Giants,Punjab Kings,KH Pandya,154,54,"Maharashtra Cricket Association Stadium, Pune",2022-04-29,Cricket,Men,field,Indian Premier League
62,Gujarat Titans,Royal Challengers Bangalore,R Tewatia,171,61,"Brabourne Stadium, Mumbai",2022-04-30,Cricket,Men,bat,Indian Premier League
63,Mumbai Indians,Rajasthan Royals,SA Yadav,159,63,"Dr DY Patil Sports Academy, Mumbai",2022-04-30,Cricket,Men,field,Indian Premier League
64,Lucknow Super Giants,Delhi Capitals,Mohsin Khan,196,77,"Wankhede Stadium, Mumbai",2022-05-01,Cricket,Men,bat,Indian Premier League
65,Chennai Super Kings,Sunrisers Hyderabad,RD Gaikwad,203,82,"Maharashtra Cricket Association Stadium, Pune",2022-05-01,Cricket,Men,field,Indian Premier League
66,Kolkata Knight Riders,Rajasthan Royals,RK Singh,153,54,"Wankhede Stadium, Mumbai",2022-05-02,Cricket,Men,field,Indian Premier League
67,Punjab Kings,Gujarat Titans,K Rabada,144,49,"Dr DY Patil Sports Academy, Mumbai",2022-05-03,Cricket,Men,bat,Indian Premier League
68,Royal Challengers Bangalore,Chennai Super Kings,HV Patel,174,103,"Maharashtra Cricket Association Stadium, Pune",2022-05-04,Cricket,Men,field,Indian Premier League
69,Delhi Capitals,Sunrisers Hyderabad,DA Warner,208,121,"Brabourne Stadium, Mumbai",2022-05-05,Cricket,Men,field,Indian Premier League
70,Mumbai Indians,Gujarat Titans,TH David,178,73,"Brabourne Stadium, Mumbai",2022-05-06,Cricket,Men,field,Indian Premier League
71,Rajasthan Royals,Punjab Kings,YBK Jaiswal,190,95,"Wankhede Stadium, Mumbai",2022-05-07,Cricket,Men,bat,Indian Premier League
72,Lucknow Super Giants,Kolkata Knight Riders,Avesh Khan,177,82,"Maharashtra Cricket Association Stadium, Pune",2022-05-07,Cricket,Men,field,Indian Premier League
73,Royal Challengers Bangalore,Sunrisers Hyderabad,PWH de Silva,193,54,"Wankhede Stadium, Mumbai",2022-05-08,Cricket,Men,bat,Indian Premier League
74,Chennai Super Kings,Delhi Capitals,DP Conway,209,59,"Dr DY Patil Sports Academy, Mumbai",2022-05-08,Cricket,Men,field,Indian Premier League
75,Kolkata Knight Riders,Mumbai Indians,JJ Bumrah,166,67,"Dr DY Patil Sports Academy, Mumbai",2022-05-09,Cricket,Men,field,Indian Premier League
76,Gujarat Titans,Lucknow Super Giants,Shubman Gill,145,83,"Maharashtra Cricket Association Stadium, Pune",2022-05-10,Cricket,Men,bat,Indian Premier League
77,Delhi Capitals,Rajasthan Royals,MR Marsh,161,89,"Dr DY Patil Sports Academy, Mumbai",2022-05-11,Cricket,Men,field,Indian Premier League
78,Mumbai Indians,Chennai Super Kings,DR Sams,98,37,"Wankhede Stadium, Mumbai",2022-05-12,Cricket,Men,field,Indian Premier League
79,Punjab Kings,Royal Challengers Bangalore,JM Bairstow,210,88,"Brabourne Stadium, Mumbai",2022-05-13,Cricket,Men,field,Indian Premier League
80,Kolkata Knight Riders,Sunrisers Hyderabad,AD Russell,178,80,"Maharashtra Cricket Association Stadium, Pune",2022-05-14,Cricket,Men,bat,Indian Premier League
81,Gujarat Titans,Chennai Super Kings,WP Saha,134,46,"Wankhede Stadium, Mumbai",2022-05-15,Cricket,Men,bat,Indian Premier League
82,Rajasthan Royals,Lucknow Super Giants,TA Boult,179,102,"Brabourne Stadium, Mumbai",2022-05-15,Cricket,Men,bat,Indian Premier League
83,Delhi Capitals,Punjab Kings,SN Thakur,160,88,"Dr DY Patil Sports Academy, Mumbai",2022-05-16,Cricket,Men,field,Indian Premier League
84,Sunrisers Hyderabad,Mumbai Indians,RA Tripathi,194,97,"Wankhede Stadium, Mumbai",2022-05-17,Cricket,Men,field,Indian Premier League
85,Lucknow Super Giants,Kolkata Knight Riders,Q de Kock,211,76,"Dr DY Patil Sports Academy, Mumbai",2022-05-18,Cricket,Men,bat,Indian Premier League
86,Royal Challengers Bangalore,Gujarat Titans,V Kohli,169,56,"Wankhede Stadium, Mumbai",2022-05-19,Cricket,Men,bat,Indian Premier League
87,Rajasthan Royals,Chennai Super Kings,R Ashwin,151,65,"Brabourne Stadium, Mumbai",2022-05-20,Cricket,Men,bat,Indian Premier League
88,Mumbai Indians,Delhi Capitals,JJ Bumrah,160,49,"Wankhede Stadium, Mumbai",2022-05-21,Cricket,Men,field,Indian Premier League
89,Punjab Kings,Sunrisers Hyderabad,Harpreet Brar,158,71,"Wankhede Stadium, Mumbai",2022-05-22,Cricket,Men,bat,Indian Premier League
90,Gujarat Titans,Rajasthan Royals,DA Miller,189,74,"Eden Gardens, Kolkata",2022-05-24,Cricket,Men,field,Indian Premier League
91,Royal Challengers Bangalore,Lucknow Super Giants,RM Patidar,208,99,"Eden Gardens, Kolkata",2022-05-25,Cricket,Men,field,Indian Premier League
92,Rajasthan Royals,Royal Challengers Bangalore,JC Buttler,158,92,"Narendra Modi Stadium, Ahmedabad",2022-05-27,Cricket,Men,field,Indian Premier League
93,Gujarat Titans,Rajasthan Royals,HH Pandya,131,35,"Narendra Modi Stadium, Ahmedabad",2022-05-29,Cricket,Men,bat,Indian Premier League
94,Gujarat Titans,Chennai Super Kings,Rashid Khan,179,82,"Narendra Modi Stadium, Ahmedabad",2023-03-31,Cricket,Men,field,Indian Premier League
95,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,154,73,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-01,Cricket,Men,field,Indian Premier League
96,Lucknow Super Giants,Delhi Capitals,MA Wood,194,95,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-01,Cricket,Men,field,Indian Premier League
97,Rajasthan Royals,Sunrisers Hyderabad,JC Buttler,204,87,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-04-02,Cricket,Men,field,Indian Premier League
98,Royal Challengers Bangalore,Mumbai Indians,F du Plessis,172,74,"M Chinnaswamy Stadium, Bengaluru",2023-04-02,Cricket,Men,field,Indian Premier League
99,Chennai Super Kings,Lucknow Super Giants,MM Ali,218,86,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-03,Cricket,Men,field,Indian Premier League
100,Gujarat Titans,Delhi Capitals,B Sai Sudharsan,163,59,"Arun Jaitley Stadium, Delhi",2023-04-04,Cricket,Men,field,Indian Premier League
101,Punjab Kings,Rajasthan Royals,NT Ellis,198,113,"Barsapara Cricket Stadium, Guwahati",2023-04-05,Cricket,Men,field,Indian Premier League
102,Kolkata Knight Riders,Royal Challengers Bangalore,SN Thakur,205,57,"Eden Gardens, Kolkata",2023-04-06,Cricket,Men,field,Indian Premier League
103,Lucknow Super Giants,Sunrisers Hyderabad,KH Pandya,122,61,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-07,Cricket,Men,bat,Indian Premier League
104,Rajasthan Royals,Delhi Capitals,YBK Jaiswal,200,107,"Barsapara Cricket Stadium, Guwahati",2023-04-08,Cricket,Men,field,Indian Premier League
105,Chennai Super Kings,Mumbai Indians,RA Jadeja,158,79,"Wankhede Stadium, Mumbai",2023-04-08,Cricket,Men,field,Indian Premier League
106,Kolkata Knight Riders,Gujarat Titans,RK Singh,205,53,"Narendra Modi Stadium, Ahmedabad",2023-04-09,Cricket,Men,bat,Indian Premier League
107,Sunrisers Hyderabad,Punjab Kings,S Dhawan,144,54,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-04-09,Cricket,Men,field,Indian Premier League
108,Lucknow Super Giants,Royal Challengers Bangalore,N Pooran,213,81,"M Chinnaswamy Stadium, Bengaluru",2023-04-10,Cricket,Men,field,Indian Premier League
109,Mumbai Indians,Delhi Capitals,RG Sharma,173,66,"Arun Jaitley Stadium, Delhi",2023-04-11,Cricket,Men,field,Indian Premier League
110,Rajasthan Royals,Chennai Super Kings,R Ashwin,176,71,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-12,Cricket,Men,field,Indian Premier League
111,Gujarat Titans,Punjab Kings,MM Sharma,154,80,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-13,Cricket,Men,field,Indian Premier League
112,Sunrisers Hyderabad,Kolkata Knight Riders,HC Brook,229,67,"Eden Gardens, Kolkata",2023-04-14,Cricket,Men,field,Indian Premier League
113,Royal Challengers Bangalore,Delhi Capitals,V Kohli,175,87,"M Chinnaswamy Stadium, Bengaluru",2023-04-15,Cricket,Men,field,Indian Premier League
114,Punjab Kings,Lucknow Super Giants,Sikandar Raza,160,63,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-15,Cricket,Men,field,Indian Premier League
115,Mumbai Indians,Kolkata Knight Riders,VR Iyer,186,96,"Wankhede Stadium, Mumbai",2023-04-16,Cricket,Men,field,Indian Premier League
116,Rajasthan Royals,Gujarat Titans,SO Hetmyer,178,99,"Narendra Modi Stadium, Ahmedabad",2023-04-16,Cricket,Men,field,Indian Premier League
117,Chennai Super Kings,Royal Challengers Bangalore,DP Conway,227,116,"M Chinnaswamy Stadium, Bengaluru",2023-04-17,Cricket,Men,field,Indian Premier League
118,Mumbai Indians,Sunrisers Hyderabad,C Green,193,98,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-04-18,Cricket,Men,field,Indian Premier League
119,Lucknow Super Giants,Rajasthan Royals,MP Stoinis,155,51,"Sawai Mansingh Stadium, Jaipur",2023-04-19,Cricket,Men,field,Indian Premier League
120,Royal Challengers Bangalore,Punjab Kings,Mohammed Siraj,175,58,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-20,Cricket,Men,field,Indian Premier League
121,Delhi Capitals,Kolkata Knight Riders,I Sharma,128,59,"Arun Jaitley Stadium, Delhi",2023-04-20,Cricket,Men,field,Indian Premier League
122,Chennai Super Kings,Sunrisers Hyderabad,RA Jadeja,135,74,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-21,Cricket,Men,field,Indian Premier League
123,Gujarat Titans,Lucknow Super Giants,MM Sharma,136,52,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-22,Cricket,Men,bat,Indian Premier League
124,Punjab Kings,Mumbai Indians,SM Curran,215,64,"Wankhede Stadium, Mumbai",2023-04-22,Cricket,Men,field,Indian Premier League
125,Royal Challengers Bangalore,Rajasthan Royals,GJ Maxwell,190,51,"M Chinnaswamy Stadium, Bengaluru",2023-04-23,Cricket,Men,field,Indian Premier League
126,Chennai Super Kings,Kolkata Knight Riders,AM Rahane,236,75,"Eden Gardens, Kolkata",2023-04-23,Cricket,Men,field,Indian Premier League
127,Delhi Capitals,Sunrisers Hyderabad,AR Patel,145,84,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-04-24,Cricket,Men,bat,Indian Premier League
128,Gujarat Titans,Mumbai Indians,A Manohar,208,125,"Narendra Modi Stadium, Ahmedabad",2023-04-25,Cricket,Men,field,Indian Premier League
129,Kolkata Knight Riders,Royal Challengers Bangalore,CV Varun,201,73,"M Chinnaswamy Stadium, Bengaluru",2023-04-26,Cricket,Men,field,Indian Premier League
130,Rajasthan Royals,Chennai Super Kings,YBK Jaiswal,203,66,"Sawai Mansingh Stadium, Jaipur",2023-04-27,Cricket,Men,bat,Indian Premier League
131,Lucknow Super Giants,Punjab Kings,MP Stoinis,258,114,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-28,Cricket,Men,field,Indian Premier League
132,Gujarat Titans,Kolkata Knight Riders,J Little,180,57,"Eden Gardens, Kolkata",2023-04-29,Cricket,Men,field,Indian Premier League
133,Sunrisers Hyderabad,Delhi Capitals,MR Marsh,198,111,"Arun Jaitley Stadium, Delhi",2023-04-29,Cricket,Men,bat,Indian Premier League
134,Punjab Kings,Chennai Super Kings,DP Conway,201,73,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-30,Cricket,Men,bat,Indian Premier League
135,Mumbai Indians,Rajasthan Royals,YBK Jaiswal,213,91,"Wankhede Stadium, Mumbai",2023-04-30,Cricket,Men,bat,Indian Premier League
136,Royal Challengers Bangalore,Lucknow Super Giants,F du Plessis,127,60,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-01,Cricket,Men,bat,Indian Premier League
137,Delhi Capitals,Gujarat Titans,Mohammed Shami,131,73,"Narendra Modi Stadium, Ahmedabad",2023-05-02,Cricket,Men,bat,Indian Premier League
138,Mumbai Indians,Punjab Kings,Ishan Kishan,215,118,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-05-03,Cricket,Men,field,Indian Premier League
139,Kolkata Knight Riders,Sunrisers Hyderabad,CV Varun,172,64,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-05-04,Cricket,Men,bat,Indian Premier League
140,Gujarat Titans,Rajasthan Royals,Rashid Khan,119,50,"Sawai Mansingh Stadium, Jaipur",2023-05-05,Cricket,Men,bat,Indian Premier League
141,Chennai Super Kings,Mumbai Indians,M Pathirana,140,53,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-06,Cricket,Men,field,Indian Premier League
142,Delhi Capitals,Royal Challengers Bangalore,PD Salt,182,89,"Arun Jaitley Stadium, Delhi",2023-05-06,Cricket,Men,bat,Indian Premier League
143,Gujarat Titans,Lucknow Super Giants,Shubman Gill,228,118,"Narendra Modi Stadium, Ahmedabad",2023-05-07,Cricket,Men,field,Indian Premier League
144,Sunrisers Hyderabad,Rajasthan Royals,GD Phillips,215,81,"Sawai Mansingh Stadium, Jaipur",2023-05-07,Cricket,Men,bat,Indian Premier League
145,Kolkata Knight Riders,Punjab Kings,AD Russell,180,68,"Eden Gardens, Kolkata",2023-05-08,Cricket,Men,bat,Indian Premier League
146,Mumbai Indians,Royal Challengers Bangalore,SA Yadav,200,84,"Wankhede Stadium, Mumbai",2023-05-09,Cricket,Men,field,Indian Premier League
147,Chennai Super Kings,Delhi Capitals,RA Jadeja,168,93,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-10,Cricket,Men,bat,Indian Premier League
148,Rajasthan Royals,Kolkata Knight Riders,YBK Jaiswal,150,45,"Eden Gardens, Kolkata",2023-05-11,Cricket,Men,field,Indian Premier League
149,Mumbai Indians,Gujarat Titans,SA Yadav,219,68,"Wankhede Stadium, Mumbai",2023-05-12,Cricket,Men,field,Indian Premier League
150,Lucknow Super Giants,Sunrisers Hyderabad,PN Mankad,183,100,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-05-13,Cricket,Men,bat,Indian Premier League
151,Punjab Kings,Delhi Capitals,P Simran Singh,168,87,"Arun Jaitley Stadium, Delhi",2023-05-13,Cricket,Men,field,Indian Premier League
152,Royal Challengers Bangalore,Rajasthan Royals,WD Parnell,172,50,"Sawai Mansingh Stadium, Jaipur",2023-05-14,Cricket,Men,bat,Indian Premier League
153,Kolkata Knight Riders,Chennai Super Kings,RK Singh,145,58,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-14,Cricket,Men,bat,Indian Premier League
154,Gujarat Titans,Sunrisers Hyderabad,Shubman Gill,189,98,"Narendra Modi Stadium, Ahmedabad",2023-05-15,Cricket,Men,field,Indian Premier League
155,Lucknow Super Giants,Mumbai Indians,MP Stoinis,178,106,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-16,Cricket,Men,field,Indian Premier League
156,Delhi Capitals,Punjab Kings,RR Rossouw,214,81,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-05-17,Cricket,Men,field,Indian Premier League
157,Royal Challengers Bangalore,Sunrisers Hyderabad,V Kohli,187,71,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-05-18,Cricket,Men,field,Indian Premier League
158,Rajasthan Royals,Punjab Kings,D Padikkal,188,56,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-05-19,Cricket,Men,field,Indian Premier League
159,Chennai Super Kings,Delhi Capitals,RD Gaikwad,224,108,"Arun Jaitley Stadium, Delhi",2023-05-20,Cricket,Men,bat,Indian Premier League
160,Lucknow Super Giants,Kolkata Knight Riders,N Pooran,177,45,"Eden Gardens, Kolkata",2023-05-20,Cricket,Men,field,Indian Premier League
161,Mumbai Indians,Sunrisers Hyderabad,C Green,201,120,"Wankhede Stadium, Mumbai",2023-05-21,Cricket,Men,field,Indian Premier League
162,Gujarat Titans,Royal Challengers Bangalore,Shubman Gill,198,61,"M Chinnaswamy Stadium, Bengaluru",2023-05-21,Cricket,Men,field,Indian Premier League
163,Chennai Super Kings,Gujarat Titans,RD Gaikwad,173,76,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-23,Cricket,Men,field,Indian Premier League
164,Mumbai Indians,Lucknow Super Giants,Akash Madhwal,183,65,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,Cricket,Men,bat,Indian Premier League
165,Gujarat Titans,Mumbai Indians,Shubman Gill,234,104,"Narendra Modi Stadium, Ahmedabad",2023-05-26,Cricket,Men,field,Indian Premier League
166,Chennai Super Kings,Gujarat Titans,DP Conway,171,60,"Narendra Modi Stadium, Ahmedabad",2023-05-29,Cricket,Men,field,Indian Premier League
167,Chennai Super Kings,Royal Challengers Bangalore,Mustafizur Rahman,174,45,"MA Chidambaram Stadium, Chepauk, Chennai",2024-03-22,Cricket,Men,bat,Indian Premier League
168,Punjab Kings,Delhi Capitals,SM Curran,175,93,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-03-23,Cricket,Men,field,Indian Premier League
169,Kolkata Knight Riders,Sunrisers Hyderabad,AD Russell,209,66,"Eden Gardens, Kolkata",2024-03-23,Cricket,Men,field,Indian Premier League
170,Rajasthan Royals,Lucknow Super Giants,SV Samson,194,99,"Sawai Mansingh Stadium, Jaipur",2024-03-24,Cricket,Men,bat,Indian Premier League
171,Gujarat Titans,Mumbai Indians,B Sai Sudharsan,169,83,"Narendra Modi Stadium, Ahmedabad",2024-03-24,Cricket,Men,field,Indian Premier League
172,Royal Challengers Bangalore,Punjab Kings,V Kohli,177,96,"M Chinnaswamy Stadium, Bengaluru",2024-03-25,Cricket,Men,field,Indian Premier League
173,Chennai Super Kings,Gujarat Titans,S Dube,207,89,"MA Chidambaram Stadium, Chepauk, Chennai",2024-03-26,Cricket,Men,field,Indian Premier League
